# x P0(x) P1(x) P2(x)
-1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
-9.797979797979797789e-01 1.000000000000000000e+00 -9.797979797979797789e-01 9.400061218243036532e-01
-9.595959595959595578e-01 1.000000000000000000e+00 -9.595959595959595578e-01 8.812366085093357171e-01
-9.393939393939394478e-01 1.000000000000000000e+00 -9.393939393939394478e-01 8.236914600550964138e-01
-9.191919191919192267e-01 1.000000000000000000e+00 -9.191919191919192267e-01 7.673706764615857434e-01
-8.989898989898990056e-01 1.000000000000000000e+00 -8.989898989898990056e-01 7.122742577288032617e-01
-8.787878787878787845e-01 1.000000000000000000e+00 -8.787878787878787845e-01 6.584022038567491908e-01
-8.585858585858585634e-01 1.000000000000000000e+00 -8.585858585858585634e-01 6.057545148454237527e-01
-8.383838383838383423e-01 1.000000000000000000e+00 -8.383838383838383423e-01 5.543311906948269474e-01
-8.181818181818181213e-01 1.000000000000000000e+00 -8.181818181818181213e-01 5.041322314049585529e-01
-7.979797979797980112e-01 1.000000000000000000e+00 -7.979797979797980112e-01 4.551576369758187912e-01
-7.777777777777777901e-01 1.000000000000000000e+00 -7.777777777777777901e-01 4.074074074074074403e-01
-7.575757575757575690e-01 1.000000000000000000e+00 -7.575757575757575690e-01 3.608815426997245002e-01
-7.373737373737373479e-01 1.000000000000000000e+00 -7.373737373737373479e-01 3.155800428527701929e-01
-7.171717171717171269e-01 1.000000000000000000e+00 -7.171717171717171269e-01 2.715029078665441853e-01
-6.969696969696970168e-01 1.000000000000000000e+00 -6.969696969696970168e-01 2.286501377410469216e-01
-6.767676767676766847e-01 1.000000000000000000e+00 -6.767676767676766847e-01 1.870217324762777356e-01
-6.565656565656565746e-01 1.000000000000000000e+00 -6.565656565656565746e-01 1.466176920722375154e-01
-6.363636363636363535e-01 1.000000000000000000e+00 -6.363636363636363535e-01 1.074380165289255951e-01
-6.161616161616161325e-01 1.000000000000000000e+00 -6.161616161616161325e-01 6.948270584634219649e-02
-5.959595959595959114e-01 1.000000000000000000e+00 -5.959595959595959114e-01 3.275176002448720869e-02
-5.757575757575756903e-01 1.000000000000000000e+00 -5.757575757575756903e-01 -2.754820936639201800e-03
-5.555555555555555802e-01 1.000000000000000000e+00 -5.555555555555555802e-01 -3.703703703703697947e-02
-5.353535353535352481e-01 1.000000000000000000e+00 -5.353535353535352481e-01 -7.009488827670662392e-02
-5.151515151515151381e-01 1.000000000000000000e+00 -5.151515151515151381e-01 -1.019283746556474135e-01
-4.949494949494949170e-01 1.000000000000000000e+00 -4.949494949494949170e-01 -1.325374961738598478e-01
-4.747474747474746959e-01 1.000000000000000000e+00 -4.747474747474746959e-01 -1.619222528313438159e-01
-4.545454545454544748e-01 1.000000000000000000e+00 -4.545454545454544748e-01 -1.900826446280993176e-01
-4.343434343434342537e-01 1.000000000000000000e+00 -4.343434343434342537e-01 -2.170186715641262420e-01
-4.141414141414141437e-01 1.000000000000000000e+00 -4.141414141414141437e-01 -2.427303336394245337e-01
-3.939393939393939226e-01 1.000000000000000000e+00 -3.939393939393939226e-01 -2.672176308539945255e-01
-3.737373737373737015e-01 1.000000000000000000e+00 -3.737373737373737015e-01 -2.904805632078359956e-01
-3.535353535353534804e-01 1.000000000000000000e+00 -3.535353535353534804e-01 -3.125191307009489439e-01
-3.333333333333332593e-01 1.000000000000000000e+00 -3.333333333333332593e-01 -3.333333333333333703e-01
-3.131313131313130382e-01 1.000000000000000000e+00 -3.131313131313130382e-01 -3.529231711049893860e-01
-2.929292929292928171e-01 1.000000000000000000e+00 -2.929292929292928171e-01 -3.712886440159168244e-01
-2.727272727272727071e-01 1.000000000000000000e+00 -2.727272727272727071e-01 -3.884297520661157410e-01
-2.525252525252524860e-01 1.000000000000000000e+00 -2.525252525252524860e-01 -4.043464952555861913e-01
-2.323232323232322649e-01 1.000000000000000000e+00 -2.323232323232322649e-01 -4.190388735843281753e-01
-2.121212121212120438e-01 1.000000000000000000e+00 -2.121212121212120438e-01 -4.325068870523416376e-01
-1.919191919191918227e-01 1.000000000000000000e+00 -1.919191919191918227e-01 -4.447505356596266335e-01
-1.717171717171716017e-01 1.000000000000000000e+00 -1.717171717171716017e-01 -4.557698194061831076e-01
-1.515151515151514916e-01 1.000000000000000000e+00 -1.515151515151514916e-01 -4.655647382920110600e-01
-1.313131313131312705e-01 1.000000000000000000e+00 -1.313131313131312705e-01 -4.741352923171104905e-01
-1.111111111111110494e-01 1.000000000000000000e+00 -1.111111111111110494e-01 -4.814814814814815103e-01
-9.090909090909082835e-02 1.000000000000000000e+00 -9.090909090909082835e-02 -4.876033057851240082e-01
-7.070707070707060726e-02 1.000000000000000000e+00 -7.070707070707060726e-02 -4.925007652280379844e-01
-5.050505050505038618e-02 1.000000000000000000e+00 -5.050505050505038618e-02 -4.961738598102234388e-01
-3.030303030303027612e-02 1.000000000000000000e+00 -3.030303030303027612e-02 -4.986225895316804269e-01
-1.010101010101005503e-02 1.000000000000000000e+00 -1.010101010101005503e-02 -4.998469543924089487e-01
1.010101010101016605e-02 1.000000000000000000e+00 1.010101010101016605e-02 -4.998469543924089487e-01
3.030303030303049816e-02 1.000000000000000000e+00 3.030303030303049816e-02 -4.986225895316804269e-01
5.050505050505060822e-02 1.000000000000000000e+00 5.050505050505060822e-02 -4.961738598102234388e-01
7.070707070707071829e-02 1.000000000000000000e+00 7.070707070707071829e-02 -4.925007652280379289e-01
9.090909090909105039e-02 1.000000000000000000e+00 9.090909090909105039e-02 -4.876033057851239527e-01
1.111111111111111605e-01 1.000000000000000000e+00 1.111111111111111605e-01 -4.814814814814814548e-01
1.313131313131314926e-01 1.000000000000000000e+00 1.313131313131314926e-01 -4.741352923171104350e-01
1.515151515151516026e-01 1.000000000000000000e+00 1.515151515151516026e-01 -4.655647382920109489e-01
1.717171717171717127e-01 1.000000000000000000e+00 1.717171717171717127e-01 -4.557698194061830521e-01
1.919191919191920448e-01 1.000000000000000000e+00 1.919191919191920448e-01 -4.447505356596265225e-01
2.121212121212121549e-01 1.000000000000000000e+00 2.121212121212121549e-01 -4.325068870523415820e-01
2.323232323232324870e-01 1.000000000000000000e+00 2.323232323232324870e-01 -4.190388735843280088e-01
2.525252525252525970e-01 1.000000000000000000e+00 2.525252525252525970e-01 -4.043464952555860803e-01
2.727272727272729291e-01 1.000000000000000000e+00 2.727272727272729291e-01 -3.884297520661155190e-01
2.929292929292930392e-01 1.000000000000000000e+00 2.929292929292930392e-01 -3.712886440159166579e-01
3.131313131313131493e-01 1.000000000000000000e+00 3.131313131313131493e-01 -3.529231711049892750e-01
3.333333333333334814e-01 1.000000000000000000e+00 3.333333333333334814e-01 -3.333333333333331483e-01
3.535353535353535914e-01 1.000000000000000000e+00 3.535353535353535914e-01 -3.125191307009488328e-01
3.737373737373739235e-01 1.000000000000000000e+00 3.737373737373739235e-01 -2.904805632078357736e-01
3.939393939393940336e-01 1.000000000000000000e+00 3.939393939393940336e-01 -2.672176308539943590e-01
4.141414141414143657e-01 1.000000000000000000e+00 4.141414141414143657e-01 -2.427303336394242561e-01
4.343434343434344758e-01 1.000000000000000000e+00 4.343434343434344758e-01 -2.170186715641259090e-01
4.545454545454545858e-01 1.000000000000000000e+00 4.545454545454545858e-01 -1.900826446280990956e-01
4.747474747474749179e-01 1.000000000000000000e+00 4.747474747474749179e-01 -1.619222528313434828e-01
4.949494949494950280e-01 1.000000000000000000e+00 4.949494949494950280e-01 -1.325374961738596813e-01
5.151515151515153601e-01 1.000000000000000000e+00 5.151515151515153601e-01 -1.019283746556470804e-01
5.353535353535354702e-01 1.000000000000000000e+00 5.353535353535354702e-01 -7.009488827670623534e-02
5.555555555555555802e-01 1.000000000000000000e+00 5.555555555555555802e-01 -3.703703703703697947e-02
5.757575757575759123e-01 1.000000000000000000e+00 5.757575757575759123e-01 -2.754820936638868734e-03
5.959595959595960224e-01 1.000000000000000000e+00 5.959595959595960224e-01 3.275176002448743073e-02
6.161616161616163545e-01 1.000000000000000000e+00 6.161616161616163545e-01 6.948270584634252955e-02
6.363636363636364646e-01 1.000000000000000000e+00 6.363636363636364646e-01 1.074380165289258171e-01
6.565656565656567967e-01 1.000000000000000000e+00 6.565656565656567967e-01 1.466176920722379595e-01
6.767676767676769067e-01 1.000000000000000000e+00 6.767676767676769067e-01 1.870217324762781796e-01
6.969696969696970168e-01 1.000000000000000000e+00 6.969696969696970168e-01 2.286501377410469216e-01
7.171717171717173489e-01 1.000000000000000000e+00 7.171717171717173489e-01 2.715029078665447404e-01
7.373737373737374590e-01 1.000000000000000000e+00 7.373737373737374590e-01 3.155800428527703039e-01
7.575757575757577911e-01 1.000000000000000000e+00 7.575757575757577911e-01 3.608815426997249443e-01
7.777777777777779011e-01 1.000000000000000000e+00 7.777777777777779011e-01 4.074074074074077734e-01
7.979797979797982332e-01 1.000000000000000000e+00 7.979797979797982332e-01 4.551576369758194573e-01
8.181818181818183433e-01 1.000000000000000000e+00 8.181818181818183433e-01 5.041322314049589970e-01
8.383838383838384534e-01 1.000000000000000000e+00 8.383838383838384534e-01 5.543311906948271695e-01
8.585858585858587855e-01 1.000000000000000000e+00 8.585858585858587855e-01 6.057545148454244188e-01
8.787878787878788955e-01 1.000000000000000000e+00 8.787878787878788955e-01 6.584022038567496349e-01
8.989898989898992276e-01 1.000000000000000000e+00 8.989898989898992276e-01 7.122742577288039278e-01
9.191919191919193377e-01 1.000000000000000000e+00 9.191919191919193377e-01 7.673706764615859655e-01
9.393939393939394478e-01 1.000000000000000000e+00 9.393939393939394478e-01 8.236914600550964138e-01
9.595959595959597799e-01 1.000000000000000000e+00 9.595959595959597799e-01 8.812366085093363832e-01
9.797979797979798899e-01 1.000000000000000000e+00 9.797979797979798899e-01 9.400061218243038752e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
